id,action,user_auth_token_id,client_ip,auth_token_hash,created_at,path,user_agent
1866999,rotate,15660,2603:9000:b00b:a000:a624:85af:e6f3:47ba,ENcNr...,2022-01-26 21:08:22 UTC,/notifications,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1867047,rotate,15660,2603:9000:b00b:a000:a624:85af:e6f3:47ba,qMwds...,2022-01-26 21:30:43 UTC,/t/73220,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1867182,rotate,15660,2603:9000:b00b:a000:a624:85af:e6f3:47ba,0bU77...,2022-01-26 22:28:14 UTC,/notifications,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1867236,rotate,15660,2603:9000:b00b:a000:a624:85af:e6f3:47ba,80tJc...,2022-01-26 22:55:08 UTC,/t/60104/posts.json,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1867428,rotate,15660,2603:9000:b00b:a000:a624:85af:e6f3:47ba,HwaVs...,2022-01-27 00:20:51 UTC,/notifications,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1867449,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,Agl4P...,2022-01-27 00:31:02 UTC,/drafts.json,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1867472,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,PGfQZ...,2022-01-27 00:41:42 UTC,/topics/timings,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1890904,rotate,15660,2603:9000:b00b:a000:f51a:d82a:7719:e579,LI4+I...,2022-02-06 11:45:22 UTC,/notifications,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1890919,rotate,15660,2603:9000:b00b:a000:f51a:d82a:7719:e579,Sw1tc...,2022-02-06 12:08:01 UTC,/notifications,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1867476,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,emsj1...,2022-01-27 00:44:08 UTC,/notifications,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1867501,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,ArN3t...,2022-01-27 00:54:41 UTC,/topics/timings,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1881803,rotate,15660,2603:9000:b00b:a000:f5e8:4d8b:2f4a:61d4,74Ehz...,2022-02-02 06:25:20 UTC,/t/kevin-gilds-dailies/73794/20,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1867675,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,lKHtY...,2022-01-27 02:34:59 UTC,/extra-locales/overrides,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1868277,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,8fzip...,2022-01-27 10:15:16 UTC,/extra-locales/overrides,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1890477,rotate,15660,2603:9000:b00b:a000:f51a:d82a:7719:e579,9g2RH...,2022-02-06 02:24:29 UTC,/notifications,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1882326,rotate,15660,2603:9000:b00b:a000:f5e8:4d8b:2f4a:61d4,uPv/G...,2022-02-02 14:08:03 UTC,/extra-locales/overrides,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1890930,rotate,15660,2603:9000:b00b:a000:f51a:d82a:7719:e579,f6HC5...,2022-02-06 12:22:34 UTC,/notifications,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869728,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,H6dAR...,2022-01-27 22:48:18 UTC,/drafts/topic_73338.json,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869726,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,ifgZl...,2022-01-27 22:47:15 UTC,/extra-locales/overrides,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869748,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,P84rS...,2022-01-27 22:59:02 UTC,/u/kevingilds/notifications,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869803,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,apKL+...,2022-01-27 23:30:13 UTC,/topics/timings,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869796,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,OvBMx...,2022-01-27 23:28:13 UTC,/topics/timings,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869799,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,zBH9c...,2022-01-27 23:29:13 UTC,/topics/timings,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869833,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,H2g8Q...,2022-01-27 23:44:03 UTC,/topics/timings,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869809,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,foLhR...,2022-01-27 23:31:13 UTC,/topics/timings,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869814,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,ALbg3...,2022-01-27 23:32:14 UTC,/drafts.json,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869831,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,4Kiy5...,2022-01-27 23:43:02 UTC,/topics/timings,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869836,rotate,15660,2603:9000:b00b:a000:3032:9e7b:fddf:6351,YNuOb...,2022-01-27 23:45:03 UTC,/topics/timings,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869904,rotate,15660,2603:9000:b00b:a000:f559:c0c:3252:36d,+/LCL...,2022-01-28 00:15:49 UTC,/topics/timings,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869907,rotate,15660,2603:9000:b00b:a000:f559:c0c:3252:36d,sjakt...,2022-01-28 00:16:55 UTC,/drafts.json,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869935,rotate,15660,2603:9000:b00b:a000:f559:c0c:3252:36d,mhsDb...,2022-01-28 00:26:56 UTC,/drafts.json,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
1869956,rotate,15660,2603:9000:b00b:a000:f559:c0c:3252:36d,VBONV...,2022-01-28 00:37:05 UTC,/drafts.json,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:96.0) Gecko/20100101 Firefox/96.0
